======== Warning: The profile is invalid or incomplete
======== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
2.01498s  7.6670us                    -               -         -         -         -      512B  66.780MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01547s  7.5000us                    -               -         -         -         -      512B  68.267MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01626s  137.92us                    -               -         -         -         -  131.07KB  950.37MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01684s  8.2500us                    -               -         -         -         -  1.0240KB  124.12MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01734s  8.0000us                    -               -         -         -         -  1.0240KB  128.00MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01783s  8.0830us                    -               -         -         -         -  1.0240KB  126.69MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01831s  8.0000us                    -               -         -         -         -  1.0240KB  128.00MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.03460s  1.1644ms                    -               -         -         -         -  1.1797MB  1.0131GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.03577s  12.417us                    -               -         -         -         -  2.0480KB  164.94MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.03612s  9.0000us                    -               -         -         -         -  2.0480KB  227.56MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.03650s  9.1670us                    -               -         -         -         -  2.0480KB  223.41MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.03687s  9.1670us                    -               -         -         -         -  2.0480KB  223.41MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.07179s  4.6263ms                    -               -         -         -         -  4.7186MB  1.0200GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.07642s  11.334us                    -               -         -         -         -  1.0240KB  90.348MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.07644s  8.0000us                    -               -         -         -         -  1.0240KB  128.00MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.07645s  8.0000us                    -               -         -         -         -  1.0240KB  128.00MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.07647s  8.1670us                    -               -         -         -         -  1.0240KB  125.38MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.07962s  520.17us                    -               -         -         -         -  524.29KB  1.0079GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08066s  10.333us                    -               -         -         -         -      128B  12.388MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08133s  6.9170us                    -               -         -         -         -      128B  18.505MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08199s  6.9170us                    -               -         -         -         -      128B  18.505MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08268s  6.9170us                    -               -         -         -         -      128B  18.505MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08336s  10.500us                    -               -         -         -         -  3.4560KB  329.14MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08401s  7.2500us                    -               -         -         -         -      256B  35.310MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08467s  7.2500us                    -               -         -         -         -      256B  35.310MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08531s  7.2500us                    -               -         -         -         -      256B  35.310MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08596s  7.2500us                    -               -         -         -         -      256B  35.310MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08683s  82.333us                    -               -         -         -         -  73.728KB  895.49MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08757s  9.0830us                    -               -         -         -         -  2.0480KB  225.48MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08825s  9.0000us                    -               -         -         -         -  2.0480KB  227.56MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08894s  9.1660us                    -               -         -         -         -  2.0480KB  223.43MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.08962s  9.0000us                    -               -         -         -         -  2.0480KB  227.56MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.16700s  4.6264ms                    -               -         -         -         -  4.7186MB  1.0199GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17164s  11.583us                    -               -         -         -         -  1.0240KB  88.405MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17165s  8.0840us                    -               -         -         -         -  1.0240KB  126.67MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17167s  8.0840us                    -               -         -         -         -  1.0240KB  126.67MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17168s  8.0000us                    -               -         -         -         -  1.0240KB  128.00MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17483s  520.08us                    -               -         -         -         -  524.29KB  1.0081GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17536s  12.333us                    -               -         -         -         -  2.0480KB  166.06MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17571s  9.1670us                    -               -         -         -         -  2.0480KB  223.41MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17599s  9.1660us                    -               -         -         -         -  2.0480KB  223.43MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.17626s  9.0000us                    -               -         -         -         -  2.0480KB  227.56MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.22288s  4.6262ms                    -               -         -         -         -  4.7186MB  1.0200GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.22752s  15.000us                    -               -         -         -         -  4.0960KB  273.07MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.22754s  11.000us                    -               -         -         -         -  4.0960KB  372.36MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.22756s  11.167us                    -               -         -         -         -  4.0960KB  366.80MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.22757s  11.083us                    -               -         -         -         -  4.0960KB  369.58MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.50265s  18.472ms                    -               -         -         -         -  18.874MB  1.0218GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.52113s  12.334us                    -               -         -         -         -  2.0480KB  166.05MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.52115s  9.1670us                    -               -         -         -         -  2.0480KB  223.41MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.52116s  9.1660us                    -               -         -         -         -  2.0480KB  223.43MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.52118s  9.0830us                    -               -         -         -         -  2.0480KB  225.48MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.53205s  2.0620ms                    -               -         -         -         -  2.0972MB  1.0171GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.53412s  15.000us                    -               -         -         -         -  4.0960KB  273.07MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.53414s  11.250us                    -               -         -         -         -  4.0960KB  364.09MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.53416s  11.000us                    -               -         -         -         -  4.0960KB  372.36MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.53418s  12.500us                    -               -         -         -         -  4.0960KB  327.68MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.81148s  18.475ms                    -               -         -         -         -  18.874MB  1.0216GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.82996s  12.583us                    -               -         -         -         -  2.0480KB  162.76MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.82998s  9.1670us                    -               -         -         -         -  2.0480KB  223.41MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.83000s  9.1660us                    -               -         -         -         -  2.0480KB  223.43MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.83001s  9.5000us                    -               -         -         -         -  2.0480KB  215.58MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.83973s  2.0588ms                    -               -         -         -         -  2.0972MB  1.0186GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.84180s  15.000us                    -               -         -         -         -  4.0960KB  273.07MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.84182s  11.084us                    -               -         -         -         -  4.0960KB  369.54MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.84184s  11.083us                    -               -         -         -         -  4.0960KB  369.58MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.84203s  11.167us                    -               -         -         -         -  4.0960KB  366.80MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.98420s  18.475ms                    -               -         -         -         -  18.874MB  1.0216GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
3.00269s  15.167us                    -               -         -         -         -  4.0960KB  270.06MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
3.00271s  11.000us                    -               -         -         -         -  4.0960KB  372.36MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
3.00273s  11.083us                    -               -         -         -         -  4.0960KB  369.58MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
3.00274s  11.000us                    -               -         -         -         -  4.0960KB  372.36MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
3.28269s  36.960ms                    -               -         -         -         -  37.749MB  1.0213GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
3.31965s  15.583us                    -               -         -         -         -  4.0960KB  262.85MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
3.31967s  11.083us                    -               -         -         -         -  4.0960KB  369.58MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
3.31969s  11.084us                    -               -         -         -         -  4.0960KB  369.54MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
4.90547s  1.0830us                    -               -         -         -         -  4.0960KB  3.7821GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.00126s  2.3330us                    -               -         -         -         -  37.749MB   2e+04GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02611s  2.7500us                    -               -         -         -         -      512B  186.18MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02614s  1.6670us                    -               -         -         -         -      512B  307.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02616s  1.5830us                    -               -         -         -         -      512B  323.44MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02618s  1.7500us                    -               -         -         -         -      512B  292.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02621s  1.7500us                    -               -         -         -         -  294.91KB  168.52GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02646s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02649s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02651s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02653s  1.6670us                    -               -         -         -         -  4.0960KB  2.4571GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.02656s  1.6670us                    -               -         -         -         -  113.25MB   7e+04GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09753s  1.7500us                    -               -         -         -         -  1.7000KB  971.43MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09755s  1.7500us                    -               -         -         -         -  1.7408MB  994.74GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09867s  1.8340us                    -               -         -         -         -      256B  139.59MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09870s  1.7500us                    -               -         -         -         -      256B  146.29MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09872s  1.7500us                    -               -         -         -         -      256B  146.29MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09874s  1.6660us                    -               -         -         -         -      256B  153.66MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09876s  1.6670us                    -               -         -         -         -  32.768KB  19.657GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09881s  1.7500us                    -               -         -         -         -      512B  292.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09884s  1.7500us                    -               -         -         -         -      512B  292.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09886s  1.6670us                    -               -         -         -         -      512B  307.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09888s  1.7500us                    -               -         -         -         -      512B  292.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09891s  1.7500us                    -               -         -         -         -  294.91KB  168.52GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09916s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09918s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09920s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09923s  1.5830us                    -               -         -         -         -  1.0240KB  646.87MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09925s  1.7500us                    -               -         -         -         -      512B  292.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.09927s  1.5830us                    -               -         -         -         -  1.1797MB  745.20GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10004s  1.7500us                    -               -         -         -         -      512B  292.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10279s  1.7500us                    -               -         -         -         -      512B  292.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10281s  1.7500us                    -               -         -         -         -      512B  292.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10283s  1.6670us                    -               -         -         -         -  131.07KB  78.628GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10296s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10298s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10301s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10303s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10305s  1.7500us                    -               -         -         -         -  1.1797MB  674.09GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10382s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10384s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10387s  1.6670us                    -               -         -         -         -  2.0480KB  1.2286GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10389s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10392s  1.6660us                    -               -         -         -         -  4.7186MB   3e+03GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10827s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10829s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10831s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10834s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10836s  1.6670us                    -               -         -         -         -  524.29KB  314.51GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10879s  1.7500us                    -               -         -         -         -      128B  73.143MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10881s  1.6670us                    -               -         -         -         -      128B  76.785MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10883s  1.5830us                    -               -         -         -         -      128B  80.859MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10886s  1.5840us                    -               -         -         -         -      128B  80.808MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10888s  1.5830us                    -               -         -         -         -  3.4560KB  2.1832GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10890s  1.5830us                    -               -         -         -         -      256B  161.72MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10893s  1.5830us                    -               -         -         -         -      256B  161.72MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10895s  1.6670us                    -               -         -         -         -      256B  153.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10897s  1.6670us                    -               -         -         -         -      256B  153.57MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10900s  1.6660us                    -               -         -         -         -  73.728KB  44.255GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10908s  1.6670us                    -               -         -         -         -  2.0480KB  1.2286GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10910s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10913s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10915s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.10917s  1.6660us                    -               -         -         -         -  4.7186MB   3e+03GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11374s  1.7500us                    -               -         -         -         -  1.0240KB  585.14MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11377s  1.5830us                    -               -         -         -         -  1.0240KB  646.87MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11379s  1.5840us                    -               -         -         -         -  1.0240KB  646.47MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11381s  1.6660us                    -               -         -         -         -  1.0240KB  614.65MB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11384s  1.7500us                    -               -         -         -         -  524.29KB  299.59GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11427s  1.5830us                    -               -         -         -         -  2.0480KB  1.2938GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11429s  1.6670us                    -               -         -         -         -  2.0480KB  1.2286GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11432s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11434s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11436s  1.7500us                    -               -         -         -         -  4.7186MB   3e+03GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11922s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11924s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11927s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11929s  1.6660us                    -               -         -         -         -  4.0960KB  2.4586GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.11932s  1.5830us                    -               -         -         -         -  18.874MB   1e+04GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13117s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13119s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13122s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13124s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13127s  1.6670us                    -               -         -         -         -  2.0972MB   1e+03GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13261s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13263s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13266s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13268s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.13271s  1.6660us                    -               -         -         -         -  18.874MB   1e+04GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14661s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14664s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14666s  1.5830us                    -               -         -         -         -  2.0480KB  1.2938GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14668s  1.7500us                    -               -         -         -         -  2.0480KB  1.1703GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14671s  1.6670us                    -               -         -         -         -  2.0972MB   1e+03GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14805s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14808s  1.6670us                    -               -         -         -         -  4.0960KB  2.4571GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14810s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14813s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.14815s  1.6670us                    -               -         -         -         -  18.874MB   1e+04GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.16002s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.16005s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.16007s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.16010s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.16012s  1.7500us                    -               -         -         -         -  37.749MB   2e+04GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.18495s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.18498s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.18500s  1.7500us                    -               -         -         -         -  4.0960KB  2.3406GB/s        GK20A (0)         1        13  [CUDA memcpy DtoD]
5.36315s  8.9170us                    -               -         -         -         -        4B  448.58KB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
